PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked_Q,Embarked_S
1,0,1.0,"Braund, Mr. Owen Harris",male,0.2711736617240512,1,0,A/5 21171,0.014151057562208049,B96 B98,False,True
2,1,0.0,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",female,0.4722292033174164,1,0,PC 17599,0.13913573538264068,C85,False,False
3,1,1.0,"Heikkinen, Miss. Laina",female,0.32143754712239253,0,0,STON/O2. 3101282,0.015468569817999833,B96 B98,False,True
4,1,0.0,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",female,0.4345312892686604,1,0,113803,0.10364429745562033,C123,False,True
5,0,1.0,"Allen, Mr. William Henry",male,0.4345312892686604,0,0,373450,0.015712553569072387,B96 B98,False,True
6,0,1.0,"Moran, Mr. James",male,0.43453,0,0,330877,0.01650950209357577,B96 B98,True,False
7,0,0.0,"McCarthy, Mr. Timothy J",male,0.6732847449107816,0,0,17463,0.10122885832000206,E46,False,True
8,0,1.0,"Palsson, Master. Gosta Leonard",male,0.01985423473234481,3,1,349909,0.04113566043083236,B96 B98,False,True
9,1,1.0,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",female,0.33400351847197784,0,2,347742,0.021730754366528396,B96 B98,False,True
10,1,0.5,"Nasser, Mrs. Nicholas (Adele Achem)",female,0.17064589092736868,1,0,237736,0.058694292654020104,B96 B98,False,False
11,1,1.0,"Sandstrom, Miss. Marguerite Rut",female,0.04498617743151546,1,1,PP 9549,0.03259622914329302,G6,False,True
12,1,0.0,"Bonnell, Miss. Elizabeth",female,0.723548630309123,0,0,113783,0.051822148727810165,C103,False,True
13,0,1.0,"Saundercock, Mr. William Henry",male,0.24604171902488062,0,0,A/5. 2151,0.015712553569072387,B96 B98,False,True
14,0,1.0,"Andersson, Mr. Anders Johan",male,0.4847951746670017,1,5,347082,0.06104473451835265,B96 B98,False,True
15,0,1.0,"Vestrom, Miss. Hulda Amanda Adolfina",female,0.17064589092736868,0,0,350406,0.015330377421392339,B96 B98,False,True
16,1,0.5,"Hewlett, Mrs. (Mary D Kingcome) ",female,0.685850716260367,0,0,248706,0.03122992013728673,B96 B98,False,True
17,0,1.0,"Rice, Master. Eugene",male,0.01985423473234481,4,1,382652,0.05684821399990475,B96 B98,True,False
18,1,0.5,"Williams, Mr. Charles Eugene",male,0.43453,0,0,244373,0.025374310111545468,B96 B98,False,True
19,0,1.0,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",female,0.38426740387031916,1,0,345763,0.03513366015444757,B96 B98,False,True
20,1,1.0,"Masselmani, Mrs. Fatima",female,0.3744,0,0,2649,0.014102260811993537,B96 B98,False,False
21,0,0.5,"Fynney, Mr. Joseph J",male,0.4345312892686604,0,0,239865,0.050748620223090936,B96 B98,False,True
22,1,0.5,"Beesley, Mr. Lawrence",male,0.4219653179190751,0,0,248698,0.025374310111545468,D56,False,True
23,1,1.0,"McGowan, Miss. Anna ""Annie""",female,0.18321186227695402,0,0,330923,0.015671954672893913,B96 B98,True,False
24,1,0.0,"Sloper, Mr. William Thompson",male,0.34656948982156316,0,0,113788,0.06929138530460494,A6,False,True
25,0,1.0,"Palsson, Miss. Torborg Danira",female,0.09525006282985675,3,1,349909,0.04113566043083236,B96 B98,False,True
26,1,1.0,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",female,0.4722292033174164,1,5,347077,0.06126431989431795,B96 B98,False,True
27,0,1.0,"Emir, Mr. Farred Chehab",male,0.3453,0,0,2631,0.014102260811993537,B96 B98,False,False
28,0,0.0,"Fortune, Mr. Charles Alexander",male,0.2334757476752953,3,2,19950,0.5133418122566507,C23 C25 C27,False,True
29,1,1.0,"O'Dwyer, Miss. Ellen ""Nellie""",female,0.3744,0,0,330959,0.01537917417160685,B96 B98,True,False
30,0,1.0,"Todoroff, Mr. Lalio",male,0.43453,0,0,349216,0.015411575213749286,B96 B98,False,True
31,0,0.0,"Uruchurtu, Don. Manuel E",male,0.49736114601658704,0,0,PC 17601,0.05410739813385612,B96 B98,False,False
32,1,0.0,"Spencer, Mrs. William Augustus (Marie Eugenie)",female,0.53,1,0,PC 17569,0.2859895551532101,B78,False,False
